Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.99494273788886E-05,3.05366552167892E-05,0.0272840843100063,0,0,0,0.440706984683249,0.000116701410661526,3.38496901410428E-07,4.47957531462122E-07,0.000118171885220419,-7.95526444254446E-07,0.000158205878624553,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/base_link.STL,,交叉棍子版本-OD-A4310-P2-36-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.000110339324010961,-6.84114721437925E-06,-0.0236545994348053,0,0,0,0.0781625774237993,2.48227014502709E-05,-8.08015069304334E-10,7.63307737619032E-09,2.11914151367618E-05,-2.112074649528E-07,2.80861602999034E-05,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link1.STL,,电机座安装1-1,坐标系1,基准轴1,joint1,revolute,0,0,0.1005,0,0,0,base_link,0,0,1,100,110,-10,10,,,,,,,,
link2,0.131565438178944,0.000623855691021066,-0.002290313299928,0,0,0,1.06041564218519,0.0002670243254711,-5.41465646787189E-06,-7.30319651835164E-07,0.00228274186258346,3.77133162081762E-07,0.00245099014913197,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link2.STL,,大臂装配-1,坐标系2,基准轴2,joint2,revolute,0,0,0,-1.5708,0,3.1416,link1,0,0,1,100,110,-10,10,,,,,,,,
link3,0.180651355592931,0.00865278251585416,0.00177671979357108,0,0,0,0.559985101124655,0.000229461619391299,8.99035267530223E-05,1.2989183107051E-05,0.00222352473291672,1.78451194409506E-06,0.00235952754239731,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link3.STL,,小臂装配-1,坐标系3,基准轴3,joint3,revolute,0.264,0,0,0,0,-2.9159,link2,0,0,1,100,110,-10,10,,,,,,,,
link4,0.054496037980163,-0.00203015728059459,0.00114315118983146,0,0,0,0.343325903472192,9.6553159834742E-05,-2.111814859336E-06,-4.18247872063668E-06,0.000172470983541549,-3.81530220353377E-06,0.00012720763462293,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link4.STL,,link4安装-1,坐标系4,基准轴4,joint4,revolute,0.25137,0,-0.002,0,0,-0.22569,link3,0,0,1,100,110,-10,10,,,,,,,,
link5,-0.000426791664222422,0.0533065540426402,0.00073106085297614,0,0,0,0.331264218951497,0.000102248008517028,-4.77169795284343E-07,-5.64278797421274E-08,0.000141866147659229,-3.75281550624159E-06,0.000103639968690314,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/link5.STL,,link5安装-1,坐标系5,基准轴5,joint5,revolute,0.06,0,0,1.5708,-1.5708,0,link4,0,0,1,100,110,-10,10,,,,,,,,
gripper_link,-0.000179168583749766,-0.012920070426288,0.118245162458058,0,0,0,0.202483822224683,8.72656224038094E-05,2.1157802312087E-09,4.46212258304102E-07,0.000110884338373626,3.53923491606382E-06,9.50216775187288E-05,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link.STL,,相机连接2.step-1;Intel Realsense D435-1;爪子-b-1;EX2-4CX-1/EG2-4CX.stp4-1;EX2-4CX-1/EG2-4CX.stp17-1;EX2-4CX-1/EG2-4CX.stp7-1;EX2-4CX-1/EG2-4CX.stp8-1;EX2-4CX-1/EG2-4CX.stp15-1;EX2-4CX-1/EG2-4CX.stp6-1;EX2-4CX-1/EG2-4CX.stp18-1;EX2-4CX-1/EG2-4CX.stp3-1;EX2-4CX-1/EG2-4CX.stp2-1;EX2-4CX-1/EG2-4CX.stp5-1;EX2-4CX-1/EG2-4CX.stp12-1;EX2-4CX-1/EG2-4CX.stp13-1;EX2-4CX-1/EG2-4CX.stp9-1,坐标系6,基准轴6,joint6,revolute,0,0,0,-1.5708,0,0.0089469,link5,0,0,1,100,110,-10,10,,,,,,,,
gripper_link10,0.0162376775855017,0.00170828143838967,1.60704782814491E-14,0,0,0,0.00248574193257273,1.1187321281772E-07,-6.68088965340704E-19,-1.14085928959275E-18,6.84359115875508E-07,-3.99246934174549E-19,5.89072994948579E-07,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link10.STL,,EX2-4CX-1/EG2-4CX.stp19-1,坐标系7,基准轴7,joint_gripper10,revolute,-0.038533,0.00036,0.18735,-1.5708,-1.304,3.1416,gripper_link,0,0,1,0,0,0,0,,,,,,,,
gripper_link11,-0.0110043692378349,0.00972866237979003,-3.15436854414486E-09,0,0,0,0.00450681926243327,1.99225999101227E-07,9.189631443366E-08,1.32669175648538E-13,5.14550853833888E-07,-4.49972931710022E-14,5.32027763416069E-07,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link11.STL,,EX2-4CX-1/EG2-4CX.stp16-1,坐标系8,基准轴8,joint_gripper11,revolute,0.041998,-0.00037577,0,0,0,2.8658,gripper_link10,0,0,1,0,0,0,0,,,,,,,,
gripper_link20,0.0160458916846533,0.00170815882510347,-1.61815005839117E-14,0,0,0,0.0024857419325728,1.11873212817726E-07,6.5445041140093E-19,1.13838047913434E-18,6.84359115875493E-07,-3.98790262211301E-19,5.8907299494856E-07,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link20.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://airbot_play_v1_mv_v1/meshes/gripper_link20.STL,,EX2-4CX-1/EG2-4CX.stp11-1,坐标系9,基准轴9,joint_gripper20,revolute,0.041464,0.00036,0.18664,1.5708,-1.304,0,gripper_link,0,0,1,0,0,0,0,,,,,,,,
